config,lk,seed,corr,head_corr,head_corr_min,max_err,mean_err,fail_pct,out_std
gpt2,256,42,0.9951835759762498,0.9949441265332162,0.9936704806380207,0.046875,0.00547412782907486,0.0,0.07592188566923141
gpt2,256,123,0.9953121248122445,0.9952058835139729,0.9944909247045967,0.0390625,0.005501548293977976,0.0,0.07721152901649475
gpt2,256,7777,0.995270942987492,0.9951895660366826,0.9947096282782931,0.046875,0.005448855459690094,0.0,0.07642360776662827
gpt2,1024,42,0.984042264984438,0.9835220178424794,0.9805724783983883,0.03125,0.004931693430989981,0.0,0.03806711733341217
gpt2,1024,123,0.9843678712248354,0.983636180276132,0.976130137483436,0.0390625,0.004967296961694956,0.0,0.038687027990818024
gpt2,1024,7777,0.9848023721181373,0.9843596956865196,0.9802599863724487,0.03125,0.0049794563092291355,0.0,0.039336416870355606
gpt2,4096,42,0.9319339865697166,0.9307998304792795,0.9174161473863859,0.03125,0.0053374567069113255,0.0,0.01906280405819416
gpt2,4096,123,0.9310660988663993,0.9296887613231931,0.914805563108633,0.03125,0.005322625394910574,0.0,0.01886915974318981
gpt2,4096,7777,0.9365811947035019,0.9355285715960485,0.91701602091212,0.03125,0.0052935234270989895,0.0,0.01968628726899624
