config,sigma,corr,head_corr,head_corr_min,max_err,mean_err,fail_pct,out_std
gpt2,0.25,0.9998950403696283,0.9998915557132353,0.9998579376566382,0.00048828125,6.488785584224388e-05,0.0,0.005695626139640808
gpt2,0.5,0.9995374727538063,0.9995227031274178,0.9993574064367937,0.001953125,0.00028101791394874454,0.0,0.011712871491909027
gpt2,0.75,0.9991272934698949,0.9991102251472376,0.9988594165593563,0.0057373046875,0.0006508667138405144,0.0,0.019843589514493942
gpt2,1.0,0.9987338669830095,0.9987275560477257,0.9985555421650396,0.0302734375,0.001478860154747963,0.0,0.037055812776088715
gpt2,1.25,0.9987036879788026,0.9987028409488441,0.9986349235045968,0.109375,0.004182695411145687,0.0,0.0936112254858017
gpt2,1.5,0.9991522671452324,0.9991521129341048,0.9990906165482287,0.203125,0.010890066623687744,0.0017801920572916667,0.2681749761104584
gpt2,2.0,0.9994085954362714,0.9994086254412381,0.9993946258974862,0.484375,0.027153978124260902,0.25997161865234375,0.965891420841217
gpt2,2.5,0.999360565199469,0.9993604394090657,0.9993084878918621,0.75,0.04183734953403473,2.6925404866536455,1.7019332647323608
gpt2,3.0,0.999270311199877,0.9992701196768494,0.9992037520672667,1.5625,0.055882226675748825,6.3897450764973955,2.359408378601074
gpt2,4.0,0.9988329486936587,0.9988326273068636,0.998735893071811,3.5625,0.0882691964507103,11.893399556477863,3.5399441719055176
